,ImageId,PredictionString,NumCars,DetectedCars,TP,FP,FN,CSI
2675,ID_468e41ef5,28 0.144823 0.0180014 -3.08902 -0.120499 3.34355 10.9637 28 0.154888 0.0119258 -3.11297 3.14744 3.76343 12.6504 28 0.134747 -0.0106152 -3.087 3.14687 5.79462 25.1006 18 0.16626 0.204711 -3.09389 -5.31777 12.0707 64.2403 66 0.0593769 -3.10686 -3.1169 -7.35377 9.41137 51.6956 37 0.166975 -3.10365 -3.12566 -12.4423 5.73881 29.4973 20 0.113369 3.12573 -3.07795 -20.6435 6.90473 37.8942 35 0.170311 3.11026 3.13793 -20.6234 12.6877 71.4379 35 0.153755 -3.12237 -3.10633 -10.6888 9.0572 48.1004 46 0.154498 0.0950019 -3.13197 7.5576 14.172 72.6433 16 0.154888 -0.0206534 -3.11297 2.74599 2.28194 4.86035 16 0.166261 0.0110952 -3.09389 -0.105587 5.05235 22.5266 16 0.154498 -0.0389782 -3.13197 2.68613 8.31549 41.4124 16 0.16626 0.0411859 -3.09389 -0.299223 8.24492 42.0334 16 0.166977 -2.51893 -3.12566 -20.0549 9.36984 51.9349 46 0.170312 3.13907 3.13793 -26.6971 13.4494 79.2574 76 0.154705 -0.00891009 -3.13627 3.95049 15.261 80.1735 71 0.154619 -0.032778 -3.13419 3.69318 17.7496 96.0585,18,15,13,2,5,0.65
1368,ID_8ffd47631,16 0.195583 0.0114649 -3.06173 3.795 2.77729 7.38616 25 0.165492 3.13889 -3.07276 3.61318 3.72163 14.8945 28 0.166342 0.0621346 -3.09717 3.88267 5.60101 23.9578 50 0.162288 3.13409 3.06677 -9.17632 3.98928 17.1177 16 0.168407 3.13369 -3.13293 -8.18662 4.79463 22.7096 37 0.14119 -3.09334 -3.13108 -9.47856 8.28857 43.2959 37 0.049983 3.12188 3.14158 -5.495 15.918 94.6889 8 0.147372 3.05543 -3.07988 -8.01482 5.3757 27.6285 70 0.164578 0.0621972 -3.09097 4.53235 7.72268 35.7336 16 0.164578 0.220815 -3.09097 3.88871 21.4141 122.52,10,10,9,1,1,0.818
3764,ID_477fc4878,60 0.130704 -0.108802 -3.09392 1.09518 9.32671 47.6617 70 0.158619 0.0536777 -3.07895 7.53222 7.17789 33.8467 8 0.127533 0.0648451 -3.06329 14.0214 5.31359 21.2988 16 0.15856 0.120648 -3.08432 12.4794 6.12664 26.1842 51 0.180626 0.103835 -3.12925 22.1352 8.79276 39.7588 51 0.187591 -0.124954 -3.12214 27.295 12.6311 61.5592 25 0.255657 -0.742426 -3.06764 20.3454 10.3717 50.1721 28 0.130792 0.195027 -3.11425 13.9012 8.99903 42.2965 28 0.144818 0.158147 -3.09867 11.1666 12.86 66.8001 28 0.127243 -0.147207 -3.04408 -22.27 6.24889 35.2358 8 0.178947 -0.166297 -3.11484 -16.8242 6.48721 36.2925 19 0.164033 0.0021109 -3.08783 -8.74447 7.76805 42.0365 16 0.130704 -0.0573401 -3.09392 5.25995 14.7359 80.9793 61 0.130433 0.583308 -3.11258 24.0753 16.3061 83.3535 54 0.143112 0.180209 -3.09326 13.9079 13.7879 70.2475 46 0.164032 -0.0739555 -3.08783 -17.8667 17.3969 102.805,16,17,13,4,3,0.65
1392,ID_06117df9b,70 0.181471 0.00041336 -3.13654 -3.23934 3.76334 14.0415 28 0.129988 0.0288958 -3.0626 3.23725 4.46542 17.5905 9 0.258344 -0.962227 -3.08915 -36.0063 9.52617 55.4068 37 0.219969 -2.18166 3.12677 -31.6816 10.5175 65.5982 51 0.171865 -0.0183056 -3.09071 -34.0903 18.4687 113.079 61 0.270797 -2.35907 -3.13556 -23.3123 8.60566 52.8837 6 0.181519 0.00371661 3.13876 -3.10297 9.08665 49.4705 16 0.181519 0.079975 3.13876 -3.61506 12.9524 72.9228 46 0.181519 -0.184122 3.13876 -1.32224 25.6773 150.413 16 0.181519 -0.00919323 3.13876 1.97059 19.2293 110.084 16 0.181518 -0.0263901 3.13876 2.56919 10.8305 57.2101,11,6,5,1,6,0.417
3820,ID_1db0533c7,28 0.148914 -0.194995 -3.11894 4.21777 10.557 54.8931 16 0.148912 -1.87952 -3.11894 11.8727 8.29014 41.815,2,1,1,0,1,0.5
2512,ID_d3ea99883,37 0.138567 0.0271694 -3.12078 -3.20191 2.59614 8.07612 23 0.166201 -0.114394 -3.07854 -2.91404 4.5492 19.3405 70 0.112098 0.0843844 3.10251 13.9462 9.41648 49.0185 37 0.127998 0.0552943 3.09812 8.36948 8.22691 41.5009 66 0.0940465 0.0750087 3.09527 8.8304 10.0566 53.5541 70 0.161122 0.114424 -3.08763 5.47583 8.93241 46.2128 27 0.146755 -3.07969 3.11017 -28.5759 11.6205 70.0917 6 0.159045 -0.0288633 -3.08174 -0.0570788 4.5356 20.4817 76 0.112611 0.00162009 3.10402 13.6145 4.87488 19.9791 8 0.125745 0.125193 3.09196 12.3661 9.4835 51.2303 16 0.161122 -0.0238839 -3.08762 3.37908 9.51828 52.1914 51 0.144054 2.63876 3.09941 -38.8178 10.957 65.1817 2 0.14676 3.02654 3.11017 -23.8331 8.42439 50.0644 46 0.146753 2.95662 3.11017 -24.4996 12.0594 71.8028,14,15,9,6,5,0.45
3157,ID_f58d4b2ae,66 0.142329 0.0387005 -3.11459 0.719682 4.92673 20.8508 54 0.190276 0.16861 -3.1039 3.41801 8.26539 41.204 56 0.145997 0.0307972 -3.00339 0.302973 6.11711 30.2921 46 0.170773 3.09933 3.11296 -10.9152 13.4601 76.2732 70 0.137017 3.10402 3.1071 -7.50887 3.50645 14.0591 35 0.152961 -0.384521 -3.09997 6.58642 3.39459 9.45216 46 0.137017 -3.06525 3.1071 -14.899 6.98953 34.0344,7,8,7,1,0,0.875
3955,ID_a0e9954a3,37 0.15774 -3.107 -3.1377 -8.95085 5.55854 28.0278 71 0.11501 3.13511 3.0911 -10.0691 7.33792 38.2306 8 0.167451 3.09871 -3.13207 -9.12331 7.11214 39.7454 46 0.201983 3.08831 3.13153 -10.0611 9.95965 56.5736 28 0.141832 0.0180479 -3.07767 4.7168 9.56542 49.6562 31 0.123951 2.44843 3.08496 12.5073 9.81573 50.6974 28 0.167134 0.0129385 -3.05744 5.02656 3.94913 15.3377 51 0.177561 0.0340194 -3.07068 5.77062 3.54389 10.8697 46 0.20198 -3.10352 3.13153 -11.3469 10.2784 56.605 46 0.201976 -3.11549 3.13153 -10.9038 11.9507 68.1392 46 0.201979 -3.02937 3.13153 -6.94451 11.0839 64.6633 46 0.201982 -3.11483 3.13153 -6.1856 14.7291 87.0736 16 0.141832 -0.0804237 -3.07767 2.93432 9.31901 50.1924,13,16,12,4,1,0.706
992,ID_10b5390e6,51 0.188392 -0.0225069 -3.10038 -4.83189 5.51306 27.2556 28 0.137903 -0.0173843 -3.11026 -3.24039 7.1375 37.748 8 0.125856 -0.0255819 -3.06556 -24.2292 6.30832 38.6677 66 0.10627 -0.0357733 -3.05727 -25.4786 8.87343 54.4392 16 0.0964529 -0.0257213 -3.13442 -25.0834 11.7167 76.9812 46 0.137904 -0.256499 -3.11026 -2.26145 15.1708 92.4018 16 0.137904 -0.0417003 -3.11025 -4.42051 14.9484 92.6123 46 0.137904 -0.152853 -3.11026 7.61817 18.3036 111.887 16 0.137903 0.121599 -3.11026 6.63845 24.4781 154.439 16 0.106271 -0.0563338 -3.05728 -22.7944 7.088 45.4144 46 0.106271 0.190462 -3.05728 -18.7837 7.46505 46.225 46 0.0964529 -0.24785 -3.13442 -25.8466 14.948 97.8706 46 0.096453 -0.391891 -3.13442 -18.3062 12.8318 79.6898 46 0.0964529 -0.0596098 -3.13442 -28.2789 20.2562 132.815,14,15,10,5,4,0.526
2425,ID_06789fe13,35 0.152785 0.0430077 -3.10639 3.19835 2.93688 7.21136 66 0.12717 -0.021266 -3.06932 12.6742 5.98138 25.9509 37 0.0465305 0.0826174 3.09276 17.438 6.9116 30.0591 51 0.145302 0.0221394 -3.13227 16.5974 10.1197 48.529 35 0.129754 0.0168273 -3.09418 13.0144 10.6816 53.8896 9 0.153579 0.0556749 -3.06364 14.0425 13.6098 72.4898 35 0.217534 0.438663 -3.13507 -12.8454 10.5183 59.1028 27 0.0802905 3.13425 -3.03265 -18.3273 12.7436 75.3029 9 0.153702 3.1389 -3.10522 -20.2546 18.0702 107.621 46 0.145303 0.186181 -3.13227 15.9749 8.87678 40.1588 8 0.0853822 -3.09064 -3.03659 -25.6015 6.91304 39.9657 6 0.0774506 3.04489 -3.03063 -24.883 7.84435 45.007 6 0.0754438 -3.12624 -3.02925 -24.8109 8.51574 49.5495 47 0.153852 -3.107 -3.10587 -13.2064 14.0747 80.7662,14,16,9,7,5,0.429
